,City,Pro,Expert,Expert+,Creator Count,location,coordinates,state,country,OSM_Search_Query
168,"Oklahoma City, OK",413,22,3,438,"Oklahoma City, Oklahoma County, Oklahoma, 73103, United States","(35.4729886, -97.5170536, 0.0)",Oklahoma City, United States,"Oklahoma City,  United States"
170,"Milwaukee, WI",396,35,5,436,"Milwaukee, Wisconsin, United States","(43.0349931, -87.922497, 0.0)",Milwaukee, United States,"Milwaukee,  United States"
173,"Calgary, Alberta",401,28,2,431,"Calgary, Alberta, Canada","(51.0460954, -114.065465, 0.0)",Calgary, Canada,"Calgary,  Canada"
175,Moon,377,47,4,428,"Muhu, Saare maakond, Estonia","(58.5959044, 23.21964608602439, 0.0)",Muhu, Estonia,"Muhu,  Estonia"
176,"Chennai, India",293,100,29,422,"Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0836939, 80.270186, 0.0)",Chennai, India,"Chennai,  India"
177,"Edmonton, Alberta",391,24,1,416,"Edmonton, Alberta, Canada","(53.5462055, -113.491241, 0.0)",Edmonton, Canada,"Edmonton,  Canada"
178,"Helsinki, Finland",387,25,1,413,"Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland","(60.1674881, 24.9427473, 0.0)",Helsinki, Finland,"Helsinki,  Finland"
179,"Orange County, CA",373,37,1,411,"Orange County, California, United States","(33.7500378, -117.8704931, 0.0)",Orange County, United States,"Orange County,  United States"
180,"Connecticut, USA",364,45,1,410,"Connecticut, United States","(41.6500201, -72.7342163, 0.0)",Connecticut, United States,"Connecticut,  United States"
182,"Hyderabad, India",293,82,34,409,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India","(17.360589, 78.4740613, 0.0)",Hyderabad, India,"Hyderabad,  India"
183,"Durban, South Africa",367,38,1,406,"Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4023, South Africa","(-29.861825, 31.009909, 0.0)",Durban, South Africa,"Durban,  South Africa"
185,DM for Business Inquiries,316,87,2,405,,,,,
186,"San Jose, CA",365,38,2,405,"San Jose, Santa Clara County, California, United States","(37.3361663, -121.890591, 0.0)",San Jose, United States,"San Jose,  United States"
188,America,337,56,9,402,"America, Horst aan de Maas, Limburg, Netherlands","(51.4371483, 5.9799001, 0.0)",America, Netherlands,"America,  Netherlands"
191,"Massachusetts, USA",374,22,1,397,"Massachusetts, United States","(42.3788774, -72.032366, 0.0)",Massachusetts, United States,"Massachusetts,  United States"
192,"West Midlands, England",361,32,3,396,"West Midlands, West Midlands Combined Authority, England, United Kingdom","(52.5050033, -1.964396123331272, 0.0)",West Midlands, United Kingdom,"West Midlands,  United Kingdom"
193,"Santa Monica, CA",352,33,8,393,"Santa Monica, Los Angeles County, California, United States","(34.0194704, -118.4912273, 0.0)",Santa Monica, United States,"Santa Monica,  United States"
194,"Abuja, Nigeria",343,41,7,391,"Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","(9.0643305, 7.4892974, 0.0)",Abuja, Nigeria,"Abuja,  Nigeria"
197,"Belo Horizonte, Brasil",319,62,7,388,"Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Southeast Region, Brazil","(-19.9227318, -43.9450948, 0.0)",Belo Horizonte, Brazil,"Belo Horizonte,  Brazil"
198,"Sacramento, CA",352,34,1,387,"Sacramento, Sacramento County, California, United States","(38.5810606, -121.493895, 0.0)",Sacramento, United States,"Sacramento,  United States"
199,"Manila, Philippines",276,88,23,387,"Manila, Capital District, Metro Manila, Philippines","(14.5948914, 120.9782618, 0.0)",Manila, Philippines,"Manila,  Philippines"
200,"Memphis, TN",349,33,3,385,"Memphis, Shelby County, West Tennessee, Tennessee, United States","(35.1335022, -89.9668758, 0.0)",Memphis, United States,"Memphis,  United States"
201,Essex,337,43,4,384,"Essex, England, United Kingdom","(51.77046785, 0.46466977412300386, 0.0)",Essex, United Kingdom,"Essex,  United Kingdom"
203,Catalunya,343,40,0,383,"Catalonia, Spain","(41.8523094, 1.5745043, 0.0)",Catalonia, Spain,"Catalonia,  Spain"
